type_name,kind,owner,file,line,definition_kind,pub_use
ExternalArtifactAdmissionDecisionV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,45,local_def,
AdvisorySystemKindV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,89,local_def,
AdvisorySystemPromotionGuardV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,97,local_def,
RegionGraphKindV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,128,local_def,
RegionNodeKindV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,156,local_def,
RegionNodeV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,165,local_def,
RegionEdgeV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,192,local_def,
RegionHyperedgeV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,215,local_def,
RegionFactorV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,234,local_def,
RegionContractV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,262,local_def,
RegionBoundaryMessageV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,339,local_def,
RegionBoundaryReceiptV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,408,local_def,
RegionBoundaryReceiptDispositionV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,432,local_def,
CompiledRegionGraphV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,516,local_def,
KernelStopRuleReportV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,619,local_def,
KernelResidualReportV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,656,local_def,
KernelSyndromeKindDisplayV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,733,local_def,
KernelSyndromeReportV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,740,local_def,
OracleAgreementV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,814,local_def,
OracleSliceRequestV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,820,local_def,
ConvergenceReportV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,884,local_def,
KernelRunDisplayReportV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,973,local_def,
SubtractionOperatorV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1084,local_def,
PreservedInvariantV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1098,local_def,
InvariantBudgetV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1108,local_def,
SupportCoreV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1204,local_def,
RemovalFrontierV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1268,local_def,
SubtractionPlanV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1391,local_def,
HistoryPreservationReportV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1476,local_def,
CompactionReportV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1551,local_def,
CapabilityStateV1,enum,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1614,local_def,
RuntimeCapabilityTruthV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1637,local_def,
ToolSchemaV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1644,local_def,
ToolDescriptorV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1661,local_def,
ToolProviderSchemaV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1690,local_def,
ToolExposurePlanV1,struct,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1722,local_def,
ToolExposurePlanV2,type,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1751,local_def,
ToolExposureSetV1,type,aidens-contracts,crates/aidens-contracts/src/reserved_v11.rs,1753,local_def,
BoundaryRepairReportV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,4,local_def,
DisplayDigestV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,18,local_def,
DuplicateKeyFindingV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,82,local_def,
JsonBoundaryRepairDisplayReportV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,111,local_def,
SchemaValidationReportV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,192,local_def,
BoundaryCompileRequestV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,261,local_def,
BoundaryCompileOutcomeV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,306,local_def,
ArtifactFamilyRegistryV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,349,local_def,
SchemaRegistryGovernanceStatusV1,enum,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,363,local_def,
