type_name,kind,owner,file,line,definition_kind,pub_use
OracleAssessment,struct,kernel-oracles,kernel-oracles/src/lib.rs,24,local_def,
OracleParityCertificate,struct,kernel-oracles,kernel-oracles/src/lib.rs,34,local_def,
DeltaParityAssessment,struct,kernel-oracles,kernel-oracles/src/lib.rs,41,local_def,
TemporalReplaySnapshot,struct,kernel-oracles,kernel-oracles/src/lib.rs,50,local_def,
TemporalReplayAssessment,struct,kernel-oracles,kernel-oracles/src/lib.rs,56,local_def,
RefutationMode,enum,kernel-oracles,kernel-oracles/src/lib.rs,66,local_def,
OracleRefutationOutcome,enum,kernel-oracles,kernel-oracles/src/lib.rs,73,local_def,
OracleRefutationResult,struct,kernel-oracles,kernel-oracles/src/lib.rs,80,local_def,
RuntimeConfig,struct,knowledge-runtime,knowledge-runtime/src/config.rs,7,local_def,
QueryConfig,struct,knowledge-runtime,knowledge-runtime/src/config.rs,57,local_def,
EntityConfig,struct,knowledge-runtime,knowledge-runtime/src/config.rs,93,local_def,
ProjectionConfig,struct,knowledge-runtime,knowledge-runtime/src/config.rs,116,local_def,
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,112,pub_use,config::RuntimeConfig
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,113,pub_use,error::RuntimeError
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,114,pub_use,"ids::{EntityId, ProjectionId, ProjectionKind, Scope, ScopeKey}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,115,pub_use,"inference::{InferenceAdvisory, InferenceExplanation, RiskGateDecision}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,122,pub_use,"entity::code_ids::{CodeEntity, CodeEntityKind}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,123,pub_use,"entity::registry::{Entity, EntityKind, EntityRegistry, MatchQuality, ResolveResult}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,124,pub_use,"evidence::support::{AnswerBundle, EvidenceItem, EvidenceRelevance, SearchEvidenceBundle}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,132,pub_use,"projection::rebuild::{rebuild_stale, RebuildDriver, RebuildOutcome}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,133,pub_use,"query::classify::{ClassifyResult, QueryMode}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,134,pub_use,"query::merge::{MergePolicy, MergedItem, MergedResults}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,135,pub_use,"query::route::{LegFilter, RetrievalStrategy, RouteLeg, RoutePlan}"
,pub_use,knowledge-runtime,knowledge-runtime/src/lib.rs,136,pub_use,"temporal::claims::{TemporalClaim, TemporalContradictionStatus}"
EffectRuntimeViewV1,struct,knowledge-runtime,knowledge-runtime/src/views.rs,11,local_def,
DelegationRuntimeViewV1,struct,knowledge-runtime,knowledge-runtime/src/views.rs,24,local_def,
DeployabilityRuntimeViewV1,struct,knowledge-runtime,knowledge-runtime/src/views.rs,36,local_def,
ContinuityRuntimeViewV1,struct,knowledge-runtime,knowledge-runtime/src/views.rs,49,local_def,
EffectiveConstitutionViewV1,struct,knowledge-runtime,knowledge-runtime/src/views.rs,64,local_def,
CompiledObligationRuntimeViewV1,struct,knowledge-runtime,knowledge-runtime/src/views.rs,82,local_def,
CompositionConflictRuntimeViewV1,struct,knowledge-runtime,knowledge-runtime/src/views.rs,102,local_def,
PolicyImpactDiffRuntimeViewV1,struct,knowledge-runtime,knowledge-runtime/src/views.rs,117,local_def,
RuntimeError,enum,knowledge-runtime,knowledge-runtime/src/error.rs,6,local_def,
InferenceAdvisory,struct,knowledge-runtime,knowledge-runtime/src/inference.rs,20,local_def,
InferenceExplanation,struct,knowledge-runtime,knowledge-runtime/src/inference.rs,38,local_def,
RiskGateDecision,struct,knowledge-runtime,knowledge-runtime/src/inference.rs,66,local_def,
ProjectionId,struct,knowledge-runtime,knowledge-runtime/src/ids.rs,23,local_def,
ProjectionKind,enum,knowledge-runtime,knowledge-runtime/src/ids.rs,51,local_def,
,pub_use,knowledge-runtime,knowledge-runtime/src/ids.rs,10,pub_use,"stack_ids::{EntityId, Scope, ScopeKey}"
SemanticMemoryAdapter,struct,knowledge-runtime,knowledge-runtime/src/adapters/semantic_memory.rs,17,local_def,
ExplainedSearchArtifacts,struct,knowledge-runtime,knowledge-runtime/src/adapters/semantic_memory.rs,22,local_def,
CodeEntityKind,enum,knowledge-runtime,knowledge-runtime/src/entity/code_ids.rs,7,local_def,
CodeEntity,struct,knowledge-runtime,knowledge-runtime/src/entity/code_ids.rs,44,local_def,
